,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
100,美國,瑰麗卡萊爾：浮華紐約,2020-12-24T00:00:00,車庫娛樂股份有限公司,WTFILMS,2,5,-0.444444444,1025,40,8795,0104-0110,87609439
101,中華民國,可不可以，你也剛好喜歡我 ,2020-08-21T00:00:00,華映娛樂股份有限公司,華映娛樂股份有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##新線索(北京)影視投資有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##百聿數碼創意股份有限公司##馬棋朵數位影像製作有限公司,5,125,-0.71395881,12385,324649,75277070,0104-0110,87609439
102,日本,看不見的目擊者,2020-10-16T00:00:00,華映娛樂股份有限公司,"MOONWATCHER Co., Ltd",1,16,-0.529411765,2480,16044,3634094,0104-0110,87609439
103,中華民國,消失的情人節,2020-09-18T00:00:00,華文創股份有限公司,華文創股份有限公司##影一製作所股份有限公司##美商華納兄弟（遠東）股份有限公司台灣分公司##國賓影城股份有限公司##威像電影有限公司,3,98,-0.739361702,22930,137113,31927325,0104-0110,87609439
104,日本,角落小夥伴電影版：魔法繪本裡的新朋友(日語版),2020-07-03T00:00:00,威視股份有限公司,"ASMIK ACE, INC.",5,438,-0.368876081,32685,344495,80261346,0104-0110,87609439
105,日本,藍色恐懼：數位修復版,2020-07-17T00:00:00,光年映畫有限公司,MADHOUSE Inc. ,1,7,-0.975862069,1600,38132,9036906,0104-0110,87609439
106,英國,俘虜,2020-12-15T00:00:00,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,19,2922,1,711541,3268,789981,0104-0110,87609439
107,香港,麥路人,2020-09-17T00:00:00,華映娛樂股份有限公司,寰亞電影製作有限公司##無限動力實業有限公司##北京拉近影業有限公司##寰亞電影發行(北京）有限公司##中影寰亞音像製品有限公司##墨客行影業（北京）有限公司##雅美星有限公司##霍爾果斯泰洋川禾文化傳媒有限公司##百代環球(北京)國際資產管理有限公司##北京林夕影業有限公司##北京大美寰宇影業有限公司##星光聯盟影業無錫有限公司,1,9,-0.307692308,990,18003,3822706,0104-0110,87609439
108,英國,生為女人,2020-12-24T00:00:00,聯影企業股份有限公司,WESTEND FILMS LTD,5,78,-0.757009346,14530,761,151331,0104-0110,87609439
109,中華民國,怪胎,2020-08-05T00:00:00,牽猴子整合行銷股份有限公司,牽猴子整合行銷股份有限公司##滿滿額娛樂股份有限公司##台灣大哥大股份有限公司,1,57,-0.491071429,5050,195406,45127111,0104-0110,87609439
